Nº doc.cálc.,Cta.contrato,Contrato,Porción,PosDoc,CDoc,MA,FinPerCálc,Válido de,Validez a,CtdCálc,Cantidad cálculo,ContPorTmp,kwh
58220354897,500000000131,200001701,GANDA,000001,ZKWH,,14/01/2021,15/12/2020,14/01/2021,0,0.00000000000000,31.0000,31.00000000000000
58220354897,500000000131,200001701,GANDA,000002,ZKW,,14/01/2021,15/12/2020,14/01/2021,0,0.00000000000000,17.0000,17.00000000000000
58220354897,500000000131,200001701,GANDA,000004,ZFP,,14/01/2021,15/12/2020,14/01/2021,0,0.90000000000000,31.0000,31.90000000000000
58220354897,500000000131,200001701,GANDA,000007,ZDD175,,14/01/2021,15/12/2020,14/01/2021,0,0.00000000000000,0.0000,0.00000000000000
57200468974,500000000131,200001701,GANDA,000001,ZKWH,,12/02/2021,15/01/2021,12/02/2021,0,0.00000000000000,29.0000,29.00000000000000
57200468974,500000000131,200001701,GANDA,000002,ZKW,,12/02/2021,15/01/2021,12/02/2021,0,0.00000000000000,29.0000,29.00000000000000
57200468974,500000000131,200001701,GANDA,000003,ZFP,,12/02/2021,15/01/2021,12/02/2021,0,0.90000000000000,29.0000,29.90000000000000
57200468974,500000000131,200001701,GANDA,000005,ZDD175,,12/02/2021,15/01/2021,12/02/2021,0,0.00000000000000,0.0000,0.00000000000000
58580379790,500000000131,200001701,GANDA,000001,ZKWH,,16/07/2021,16/06/2021,14/07/2021,0,0.00000000000000,29.0000,29.00000000000000
58580379790,500000000131,200001701,GANDA,000002,ZKWH,,16/07/2021,15/07/2021,16/07/2021,0,0.00000000000000,2.0000,2.00000000000000
58580379790,500000000131,200001701,GANDA,000003,ZKW,,16/07/2021,16/06/2021,16/07/2021,0,0.00000000000000,31.0000,31.00000000000000
58580379790,500000000131,200001701,GANDA,000004,ZFP,,16/07/2021,16/06/2021,16/07/2021,0,0.90000000000000,31.0000,31.90000000000000
58580379790,500000000131,200001701,GANDA,000006,ZDD175,,16/07/2021,16/06/2021,16/07/2021,0,0.00000000000000,0.0000,0.00000000000000
56300817537,500000000131,200001701,GANDA,000001,ZKWH,,14/09/2022,16/08/2022,14/09/2022,0,0.00000000000000,30.0000,30.00000000000000
56300817537,500000000131,200001701,GANDA,000002,ZKW,,14/09/2022,16/08/2022,14/09/2022,0,0.00000000000000,30.0000,30.00000000000000
56300817537,500000000131,200001701,GANDA,000003,ZFP,,14/09/2022,16/08/2022,14/09/2022,0,0.90000000000000,30.0000,30.90000000000000
56300817537,500000000131,200001701,GANDA,000005,ZDD175,,14/09/2022,16/08/2022,14/09/2022,0,0.00000000000000,0.0000,0.00000000000000
56300817538,500000000131,200001801,GANDA,000001,ZKWH,,14/09/2022,16/08/2022,14/09/2022,130,0.40000000000000,30.0000,30.40000000000000
56300817538,500000000131,200001801,GANDA,000002,ZKW,,14/09/2022,16/08/2022,14/09/2022,0,0.74300000000000,30.0000,30.74300000000000
56300817538,500000000131,200001801,GANDA,000003,ZFP,,14/09/2022,16/08/2022,14/09/2022,1,0.00000000000000,30.0000,30.00000000000000
56300817538,500000000131,200001801,GANDA,000005,ZDD175,,14/09/2022,16/08/2022,14/09/2022,0,0.00000000000000,0.0000,0.00000000000000
58580379791,500000000131,200001801,GANDA,000001,ZKWH,,16/07/2021,16/06/2021,14/07/2021,124,0.04510000000000,29.0000,29.04510000000000
58580379791,500000000131,200001801,GANDA,000002,ZKWH,,16/07/2021,15/07/2021,16/07/2021,8,0.55490000000000,2.0000,2.55490000000000
58580379791,500000000131,200001801,GANDA,000003,ZKW,,16/07/2021,16/06/2021,16/07/2021,0,0.68300000000000,31.0000,31.68300000000000
58580379791,500000000131,200001801,GANDA,000004,ZFP,,16/07/2021,16/06/2021,16/07/2021,0,0.99900000000000,31.0000,31.99900000000000
58580379791,500000000131,200001801,GANDA,000006,ZDD175,,16/07/2021,16/06/2021,16/07/2021,0,0.00000000000000,0.0000,0.00000000000000
50000076584,500000000131,200001701,GANDA,000001,ZKWH,,15/11/2021,16/10/2021,15/11/2021,0,0.00000000000000,31.0000,31.00000000000000
50000076584,500000000131,200001701,GANDA,000002,ZKW,,15/11/2021,16/10/2021,15/11/2021,0,0.00000000000000,31.0000,31.00000000000000
