N°,Zona,Un.lect.,Contrato,Tp.tarifa,Instalacion,Fact.cálculo,Equipo,Número de serie,Fabricante,Denomin.tipo,DS,¿Telesgestionada?,Tipo de medicion,Lista,Municipio,Población,Distrito,Calle,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,Prioridad,Promedio,% Variacion,Tendencia ,Grafico ,Ordenes,Observacion
1131,ST,ST_78_03,504832401,G_GMH,30323809,160,1.00E+11,115316,SIEMENS,RXRS4 (114E),CT6266,Medición Convencional ,Medicion Secundaria,"SAMSEW, S.A. DE C.V.",NUEVO CUSCATLAN,NUEVO CUSCATLAN,NUEVO CUSCATLAN,CARRETERA AL PUERTO,23248.00,43344.00,29440.00,37232.00,26128.00,30432.00,32032.00,34128.00,33856.00,28912.00,29488.00,29152.00,9776.00,944.00,832.00,400.00,288.00,80.00,416.00,192.00,80.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,1072.00,0.00,0.00,192.00,1376.00,3632.00,17936.00,14368.00,26288.00,29600.00,28496.00,34064.00,35760.00,66192.00,35344.00,30032.00,21680.00,21680.00,Media,"16,481",101.38%,-,,,
947,ST,ST_78_14,207043801,G_GMH,30104871,60,1.00E+11,202,SCHLUMBERGER,SV4AR,CT901824,Medición Convencional ,Medicion Secundaria,"UNIVISA, S.A. DE C.V",ANTIGUO CUSCATLAN,SANTA ELENA,URB INDUSTRIAL SANTA ELENA,CALLE SIEMENS,30636.00,30702.00,27948.00,26814.00,28188.00,29136.00,29820.00,29520.00,8490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Baja,"5,245",199.64%,-,,,
1167,ST,ST_78_13,515750101,G_GMH,30369130,160,1.00E+11,182971,LANDIS + GYR,RXRS4,DS114720,Medición Convencional ,Medicion Secundaria,"JOR, S.A. DE C.V.",SAN JOSE VILLANUEVA,CANTON LAS DISPENSAS,CASERIO MONTECRISTO,CALLE ANTIGUA,57616.00,57632.00,52448.00,51632.00,18128.00,12224.00,8016.00,16272.00,14944.00,12352.00,15232.00,29664.00,39584.00,44208.00,53808.00,45072.00,18416.00,15840.00,2736.00,2128.00,448.00,176.00,2064.00,1552.00,12912.00,26816.00,35904.00,40384.00,17728.00,12672.00,7328.00,7360.00,3232.00,5472.00,31408.00,25680.00,31360.00,41536.00,20688.00,18864.00,5872.00,6960.00,11952.00,1536.00,336.00,336.00,Media,"20,403",82.15%,-,,,
602,SS,SS_07_06,101263601,G_GMH,30035303,120,1.00E+11,479287,SIEMENS,LIBRA (114E),CT9368,Medición Tele gestionada,Medicion Secundaria,MINISTERIO DE EDUCACION SAN SALVADOR,SAN SALVADOR,BARRIO SAN JACINTO,BARRIO SAN JACINTO,PASAJE BOLIVAR,2184.00,5196.00,6204.00,6600.00,5040.00,6384.00,6924.00,5676.00,7128.00,6576.00,5664.00,3888.00,2388.00,4992.00,5976.00,5784.00,1080.00,1116.00,996.00,1092.00,1536.00,1920.00,1860.00,2616.00,1944.00,2304.00,2460.00,3216.00,4452.00,5724.00,5076.00,4596.00,4944.00,4236.00,4296.00,2784.00,3984.00,6036.00,6012.00,5016.00,6000.00,4500.00,5280.00,6408.00,5904.00,5904.00,Baja,"4,346",42.12%,-,,,
484,SS,SS_78_11,502594901,G_GMH,30206065,120,1.00E+11,106418,SIEMENS,RXRS4 (114E),CT6913,Medición Convencional ,Medicion Secundaria,OPERADORA DEL SUR S.A. DE C.V.,ILOPANGO,URB ALTAVISTA,URB ALTAVISTA I,CARRETERA DE ORO,60756.00,54984.00,62820.00,59700.00,68256.00,67404.00,63780.00,62352.00,65340.00,56892.00,54276.00,56364.00,58020.00,48504.00,51348.00,48744.00,38472.00,43620.00,47664.00,42840.00,55332.00,48204.00,42816.00,45468.00,48432.00,44124.00,48444.00,49992.00,47496.00,46056.00,43572.00,45924.00,46236.00,47076.00,45960.00,54252.00,48624.00,48552.00,48156.00,55956.00,56220.00,52644.00,53676.00,46644.00,44280.00,44280.00,Alta,"51,534",13.82%,-,,,
762,SS,SS_78_11,518297901,G_MMH,30413928,80,1.00E+11,479285,LANDIS + GYR,RXRS4,CT31763,Medición Tele gestionada,Medicion Secundaria,"UNION DE EMPRESAS SIPAGO SITRAMSS, S A DE C V",SOYAPANGO,BOULEVARD DEL EJERCITO,ZONA INDUSTRIAL BLV DEL EJERCITO,AVENIDA PERALTA,14192.00,14616.00,13728.00,14040.00,14672.00,14480.00,14552.00,14248.00,14368.00,13304.00,13296.00,14080.00,12960.00,12752.00,13800.00,12664.00,11848.00,12664.00,13064.00,0.00,12792.00,9712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Baja,"6,127",109.26%,-,,,
705,SS,SS_78_07,101322501,G_MMH,30084045,120,1.00E+11,182918,LANDIS + GYR,RXRS4,CT10782,Medición Convencional ,Medicion Secundaria,JORGE DAVID BARRERA VILLEDA,SAN SALVADOR,COLONIA PROVIDENCIA,COLONIA PROVIDENCIA,PASAJE JEREZ,5832.00,8664.00,7980.00,7008.00,5400.00,7140.00,7416.00,8136.00,8604.00,8652.00,7896.00,6720.00,5748.00,6144.00,4596.00,1308.00,1656.00,1116.00,1716.00,1668.00,1368.00,3096.00,3120.00,3240.00,2796.00,3132.00,3036.00,2448.00,2112.00,2916.00,2688.00,2904.00,3156.00,3456.00,4164.00,3636.00,3576.00,3924.00,3480.00,3300.00,3672.00,3624.00,3528.00,4008.00,4104.00,4104.00,Baja,"4,304",50.67%,-,,,
1210,ST,ST_05_07,207016701,G_MMP,30086213,80,1.00E+11,321792,LANDIS + GYR,RXRS4,CT901802,Medición Convencional ,Medicion Secundaria,CORPORACION HERMANOS MARISTAS DE EL SALVADOR,SANTA TECLA,SANTA TECLA,SANTA TECLA,5° CALLE ORIENTE,4048.00,9136.00,12744.00,11904.00,10728.00,11976.00,14224.00,9976.00,16976.00,12280.00,8480.00,6112.00,6320.00,9416.00,12544.00,9192.00,12544.00,9200.00,9872.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11960.00,2696.00,1864.00,3016.00,5248.00,5952.00,5144.00,4680.00,4800.00,4800.00,5152.00,6096.00,6096.00,Baja,"5,765",86.23%,-,,,
603,SS,SS_07_10,102078701,G_1G,30028111,80,1.00E+11,183101,LANDIS + GYR,RXRS4,CT6849,Medición Convencional ,Medicion Secundaria,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS,SAN SALVADOR,COLONIA DINA,COLONIA DINA,CALLE A MONSERRAT,2424.00,2376.00,1912.00,1936.00,2136.00,2640.00,2320.00,1936.00,2312.00,2024.00,1568.00,2672.00,2128.00,1784.00,2248.00,1032.00,688.00,1784.00,32.00,832.00,600.00,688.00,1232.00,1392.00,1520.00,1728.00,1904.00,2608.00,2248.00,1616.00,1800.00,1608.00,1328.00,1488.00,1808.00,1936.00,1280.00,2520.00,2840.00,2632.00,2336.00,2888.00,2744.00,2544.00,2472.00,2472.00,Baja,"1,892",34.72%,-,,,
628,SS,SS_78_04,102213701,G_GMH,30147145,120,1.00E+11,106333,LANDIS + GYR,RXRS4,DS100957,Medición Convencional ,Medicion Secundaria,"M M CALCETINES, S.A. DE C.V.",SAN SALVADOR,CENTRO URBANO  MONSERRAT,COLONIA MONSERRAT,BLVD ALTAMIRA,22944.00,21672.00,25104.00,19128.00,12768.00,23100.00,23412.00,13032.00,17376.00,22536.00,27516.00,37476.00,31608.00,26964.00,26076.00,2604.00,408.00,1788.00,6696.00,3300.00,7776.00,17316.00,17376.00,29664.00,27804.00,18648.00,20052.00,15588.00,14616.00,24264.00,20556.00,13872.00,16692.00,22668.00,29220.00,29448.00,28908.00,25788.00,17244.00,20844.00,21240.00,23664.00,20472.00,20640.00,17268.00,17268.00,Media,"19,661",41.40%,-,,,
609,SS,SS_11_01,102370101,G_MMP,30107589,60,1.00E+11,1104029,LANDIS + GYR,E650 S4x RXR F5S,DS101661,Medición Convencional ,Medicion Secundaria,MULTICABLE DE EL SALVADOR S.A. DE C.V.,SAN SALVADOR,LOMAS DE SAN FRANCISCO,ALTOS DE LOMA LINDA,CALLE MAQUILISHUAT,15780.00,16008.00,16170.00,15894.00,16278.00,15984.00,10788.00,9864.00,9648.00,9954.00,9234.00,9378.00,11670.00,14190.00,15384.00,12486.00,15282.00,8958.00,8946.00,10080.00,12852.00,13644.00,12438.00,15054.00,13698.00,12612.00,12168.00,13014.00,13542.00,15804.00,14202.00,14622.00,13398.00,13512.00,12756.00,11934.00,11694.00,12288.00,11214.00,12462.00,12240.00,9984.00,10350.00,10392.00,9714.00,9714.00,Media,"12,550",17.78%,-,,,
